start_time,end_time,instrument_label
0.0000,156.0845,piano
100.0780,140.3878,female singer
100.3566,140.6665,female singer
131.7500,152.1371,clean electric guitar
135.1401,138.2516,timpani
141.9204,151.7656,female singer
142.2454,151.0690,female singer
152.2300,164.9546,female singer
16.1611,49.8300,female singer
50.6195,57.9106,female singer
51.3161,153.3446,electric bass
51.3625,54.1489,timpani
51.6876,150.5582,drum set
51.8269,58.8394,female singer
51.9198,154.2269,lap steel guitar
58.6536,66.1769,female singer
59.6288,66.2698,female singer
6.7338,24.8918,clean electric guitar
67.1985,70.5422,timpani
67.8487,88.3751,female singer
78.1119,88.4680,female singer
79.7838,102.0749,clean electric guitar
82.6166,86.3782,timpani
89.9541,96.4093,female singer
91.6724,96.2699,female singer
98.6848,102.5393,timpani
